id|arquivo_nome|caminho|tamanho_segmento|start_split|end_split|whisper|wav2vec2|levenshtein_similarity|utilizou_denoiser
audio|audio_teste_segment_000_stt_001|audio_dataset/audio/audio_teste_segment_000_stt_001.flac|21.06|0.03|21.09|O que tu precisa saber é os métodos franceses só, né? Sim, os termos, né? Os termos da gastronomia, eles são em francês, né? Porque a base da gastronomia mundial é francesa, né? E se usa muito termo francês, muito termo americano e muito... Italiano pouco, mas...|TPRECISA SABER ÉOS METODOS FRANCESES SONA SINEVEOS ERVAS É OS TERMOS NAOS TEMOS DA GASTRONOMIA AH ELIÇÃO EM FRANCÊS É PORQUE A BÁSIDO DA GASTRONOMIA MUNGIAR FRANCESA  SE O ILUSA MUITO TEMPO FRANCÊS MUITO TERMO AMERICANO E MUITO A ITALIANO POUCO MAS MA|0.792|True
LowuyZ3|LowuyZ3_B84-_1__segment_000_stt_001|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_000_stt_001.flac|3.3|0.88|4.18|O que é isso? Um passeio romântico entre dois homens?|O QUE É ISSO UM PASSEIO ROMÂNTICO ENTRE DOIS HOMENS|1.0|True
LowuyZ3|LowuyZ3_B84-_1__segment_000_stt_002|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_000_stt_002.flac|6.209999999999999|6.58|12.79|Muito bonito. Você acha que os cisnes são um tipo de fetiche ou você costuma passar parte do seu tempo aqui?|MUITO BONITO VOCÊ ACHA QUE OS CISNES SÃO UM TIPO DE FETICHE OU VOCÊ COSTUMA PASSAR PARTE DO SEU TEMPO AQUI|1.0|True
LowuyZ3|LowuyZ3_B84-_1__segment_000_stt_027|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_000_stt_027.flac|3.4400000000000013|14.48|17.92|Eu pensei no que você me disse outro dia sobre o meu quadro.|EU PENSEI NO QUE VOCÊ ME DISSE OUTRO DIA SOBRE O MEU QUADRO|1.0|True
LowuyZ3|LowuyZ3_B84-_1__segment_000_stt_028|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_000_stt_028.flac|7.690000000000001|24.13|31.82|Aí me ocorreu uma coisa. E eu pude dormir tranquilamente. E aí não pensei mais em você. Sabe o que me ocorreu?|AÍ ME OCORREU UMA COISA E EU PUDE DORMIR TRANQILAMENTE E AÍ NÃO PENSEI MAIS EM VOCÊ SABE QUE ME CORREU|0.962264|True
LowuyZ3|LowuyZ3_B84-_1__segment_000_stt_029|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_000_stt_029.flac|5.8799999999999955|34.2|40.08|Que você é só um garoto. Não tem a menor ideia daquilo que fala. Obrigado. Tudo bem.|QUEVOCÊ SÃ UM GAROTO NÃO TEM A MENOR IDÉIA DAQUILO QUE FALA OBRIGADO TUDO BEM|0.95|True
LowuyZ3|LowuyZ3_B84-_1__segment_000_stt_030|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_000_stt_030.flac|11.57|48.4|59.97|Se eu lhe perguntar sobre arte, você vai ter um conhecimento superficial que leio em livros. Michelangelo. Sabe tudo sobre ele. Ótimo trabalho, muita inspiração, muita esperança.|SE E LHE PERGUNTAR SOBRE ARTE VOCÊ VAI TER UM CONHECIMENTO SUPERFICIAL QUE LEU EM LIVROS MIQUELÂNGELO SABE TUDO SOBRE ELE ÓTIMO TRABALHO MUITA INSPIRAÇÃO MUITO|0.906433|True
LowuyZ3|LowuyZ3_B84-_1__segment_001_stt_003|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_001_stt_003.flac|5.939999999999998|108.12|114.06|orientação sexual e tudo mais, certo?|RANÇA ORIENTAÇÃO SEXUAL E TUDO MAIS CERTO|0.853659|True
LowuyZ3|LowuyZ3_B84-_1__segment_001_stt_004|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_001_stt_004.flac|2.9200000000000017|60.03|62.95|Aposto que não sabe o cheiro que tem a capela Sistina.|APOSTO QUE NÃO SABE O CHEIRO QUE TEM A CAPELA CISTINA|0.981132|True
LowuyZ3|LowuyZ3_B84-_1__segment_001_stt_005|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_001_stt_005.flac|3.0|65.62|68.62|Na verdade, nunca esteve lá olhando para aquele teto maravilhoso.|NA VERDADE É NUNCA ESTEVE LÁ OLHANDO PARA AQUELE TETO MARAVILHOSO|0.969231|True
LowuyZ3|LowuyZ3_B84-_1__segment_001_stt_006|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_001_stt_006.flac|3.019999999999996|72.03|75.05|Se eu perguntasse sobre mulheres, você enumeraria aquelas que lhe prestaram favores pessoais. Pode até ter transado algumas vezes.|SE EU PERGUNTASSE SOBRE MULHERES VOCÊ NOMERARIA AQUELAS QUE LHE PRESTARAM FAVORES PESSOAS PODE ATER TER TRANSADO ALGUMO AS VEZES|0.953125|True
LowuyZ3|LowuyZ3_B84-_1__segment_001_stt_007|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_001_stt_007.flac|7.420000000000002|81.72|89.14|Mas não sabe dizer qual é a sensação de acordar ao lado de uma mulher e sentir-se realmente feliz.|MAS NÃO SABE DIZER QUALA ESSA ESSAÇÃO DE ACORDAR AO LADO DE UMA MULHER E SENTIR-SE REALMENTE FELIZ|0.94898|True
LowuyZ3|LowuyZ3_B84-_1__segment_001_stt_008|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_001_stt_008.flac|4.689999999999998|95.64|100.33|Se eu lhe perguntar sobre Shakespeare, você provavelmente vai me passar a experiência que teve com amigos.|SE EU LHE PERGUNTAR SOBRE SHAKESPER VOCÊ PROVAVELMENTE VAI ME PASSAR A EXPERIÊNCIA QUE TEVE COM AMIGOS|0.980769|True
